urn,school_name,la_name,decision,c2,c2_evidence,c2_policy_url,c2_policy_year,years_found,years_not_applied,c5_note,sources_tried,notes,updated
136644,Hayes School,Bromley,needs_manual,,,,,,,,bromley.gov.uk secondary places page and guide checked; no per-school cut-off distances found; Internet Archive offline,,2026-09-12
150055,Harris Academy Beulah Hill,Croydon,excluded,fail,non-verbal reasoning test to offer places to all bands of ability,https://harrisbeulahhill.org.uk/156/academy-admissions/,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
135955,Harris Academy Purley,Croydon,excluded,fail,admissions page carries a 'Supplementary Information Form for Banding',https://www.harrispurley.org.uk/admissions/start-your-journey-with-us,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
135249,Harris Academy South Norwood,Croydon,excluded,fail,fair banding non-verbal reasoning test,https://www.harrissouthnorwood.org.uk/156/academy-admissions,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
135311,Harris City Academy Crystal Palace,Croydon,excluded,fail,NVRT ability bands (nine) plus 10% technology aptitude places and zones,https://www.harriscrystalpalace.org.uk/218/academy-admissions,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
140952,Harris Invictus Academy Croydon,Croydon,excluded,fail,non-verbal reasoning test to offer places to all bands of ability; banding SIF,https://www.harrisinvictus.org.uk/93/academy-admissions,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
138178,Riddlesdown Collegiate,Croydon,needs_more_years,"provisional pass (2025-26 criteria: remaining places by straight line distance to the designated entrance, NLPG points)",,https://riddlesdown.org/wp-content/uploads/2024/01/Riddlesdown-Collegiate-Admissions-Criteria-2025.pdf,,"2025 only: 1.457 (column ""Furthest Distance (M)"", unit not stated; probably miles)",,,Croydon secondary prospectus 2026-27 (live); 2025-26 and 2024-25 prospectuses 404; Internet Archive offline,"Croydon table also shows a Banding column populated for all Harris academies (179, 134, 146, 147, 120), consistent with the Harris exclusions",2026-09-12
101941,The Ellen Wilkinson School for Girls,Ealing,excluded,,,,,,"2025,2026","fails C5: 'All applicants offered' on NOD 2025 and NOD 2026 (Ealing high school allocations), so no binding distance cut-off",https://www.ealing.gov.uk/download/downloads/id/18711/high_school_on_time_offers_2024.pdf ; https://www.ealing.gov.uk/download/downloads/id/21309/high_school_on_time_offers_2026.pdf,,2026-09-12
101928,Villiers High School,Ealing,excluded,,,,,,"2025,2026","fails C5: 'All applicants offered' on NOD 2025 and NOD 2026 (Ealing high school allocations), so no binding distance cut-off",https://www.ealing.gov.uk/download/downloads/id/18711/high_school_on_time_offers_2024.pdf ; https://www.ealing.gov.uk/download/downloads/id/21309/high_school_on_time_offers_2026.pdf,,2026-09-12
139815,Ark John Keats Academy,Enfield,needs_manual,,,,,,,,enfield.gov.uk returns HTTP 403 to automated requests (not bypassed); allocation PDFs for you to open: https://www.enfield.gov.uk/__data/assets/pdf_file/0018/53721/Transfer-to-secondary-2024-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0040/89896/Transfer-to-secondary-2025-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0009/102105/Secondary-transfer-allocation-breakdown-2025-Edication.pdf,,2026-09-12
102048,Enfield County School for Girls,Enfield,needs_manual,,,,,,,,enfield.gov.uk returns HTTP 403 to automated requests (not bypassed); allocation PDFs for you to open: https://www.enfield.gov.uk/__data/assets/pdf_file/0018/53721/Transfer-to-secondary-2024-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0040/89896/Transfer-to-secondary-2025-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0009/102105/Secondary-transfer-allocation-breakdown-2025-Edication.pdf,,2026-09-12
132256,Highlands School,Enfield,needs_manual,,,,,,,,enfield.gov.uk returns HTTP 403 to automated requests (not bypassed); allocation PDFs for you to open: https://www.enfield.gov.uk/__data/assets/pdf_file/0018/53721/Transfer-to-secondary-2024-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0040/89896/Transfer-to-secondary-2025-and-allocation-information-Education.pdf ; https://www.enfield.gov.uk/__data/assets/pdf_file/0009/102105/Secondary-transfer-allocation-breakdown-2025-Edication.pdf,search snippet: Highlands furthest distance offered 0.784 miles on NOD 2025 (unverified),2026-09-12
138449,Harris Academy Greenwich,Greenwich,excluded,fail,pupils sit a band test in Year 6 to admit the same proportion from each ability band,https://www.harrisgreenwich.org.uk/admissions/applying-to-year-7,"current admissions page (2026 entry); banding assumed long-standing, earlier years not separately checked",,,,,,2026-09-12
100190,Thomas Tallis School,Greenwich,draft_include,pass (2025-26 Greenwich community criteria),EHCP; looked after; chronic medical/social care need; sibling; children of staff (new 2025-26); other children by straight line home to school distance,https://www.royalgreenwich.gov.uk/download/downloads/id/7525/royal_greenwich_admission_arrangements_2025_to_2026.pdf,"2025-26; staff criterion new that year, earlier years had LAC, medical/social, sibling, distance","2022,2023,2025",,"3 years, 1610-1970 m; CV about 0.10",2025/26 booklet (entry 2024) not yet located,"grade 2 (Good) school passing C3 because comparators are 3,3,2",2026-09-12
134693,Mossbourne Community Academy,Hackney,excluded,fail,"MCA 2025-26 proposed policy: inner/middle/outer distance zones (to 1 km, 1-2.3 km, 2.3-4 km) with CAT4 ability banding",https://consultation.hackney.gov.uk/children-education/school-admissions-consultation-2023/user_uploads/hec---mca-proposed-admissions-policy-25-26.pdf,,,,,,,2026-09-12
135835,"The City Academy, Hackney",Hackney,excluded,fail,"City Academy Hackney arrangements: applicants take CAT4 and are placed in four ability bands (search-located Hackney Education determined arrangements 2021-22, 2022-23; 2027-28 policy text extraction did not show the band wording)",https://education.hackney.gov.uk/sites/default/files/document/The%20City%20Academy%20Hackney%20and%20Sixth%20Form%202022-23%20-%20Determined.pdf,,,,,,banding wording taken from search summary of Hackney-hosted determined arrangements; verify,2026-09-12
139365,Fulham Cross Girls' School and Language College,Hammersmith and Fulham,excluded,,,,,,2023,"fails C5: ""All applicants who applied were offered a place"" (LBHF How places were offered 2023), no binding distance cut-off",https://www.sirjohnlillieprimary.co.uk/_site/data/files/users/6453BA2C75FE9AA57FF9C8D99612E7EE.pdf (copy of LBHF document; lbhf.gov.uk page 404),,2026-09-12
137531,Alexandra Park School,Haringey,draft_include,pass,"EHCP; looked after/previously looked after; social-medical; siblings; children of staff (max 16); distance (straight line, OS address point to OS address point)",https://www.alexandrapark.school/join-aps/study-at-aps/admissions,2025-26 only; earlier years not yet checked,"2022,2023,2024,2025",,"4 years, all oversubscribed on distance; CV small",,2026 figure 0.477 mi exists but is outside the pre-registered window. Haringey also publishes cut-off maps (secondary_transfer_2025_maps_of_cut-off_distances.pdf) useful for the basemap check.,2026-09-12
102157,Gladesmore Community School,Haringey,excluded,not checked,,,,"2022,2023,2024,2025",,fails C5: 2025 cut-off 5.25 mi (effectively all applicants offered); CV far above 0.25; 2026 N/A,,,2026-09-12
137178,Bentley Wood High School,Harrow,excluded,fail,allocation tables 2023-25 show places allocated by 'Random Allocation' (93-111) and 'Feeder' (5-19),https://www.harrow.gov.uk/downloads/file/32426/How_places_were_allocated_2024_25_secondary.pdf,,"2023,2024,2025 (1.792, 1.638, 1.681 mi)",,not recorded: fails C2,,,2026-09-12
137075,Park High School,Harrow,excluded,,,,,2023,"2024,2025","fails C5: distance criterion not reached in 2024 or 2025 (N/A = all applicants offered), so only 1 year and no stable boundary",,,2026-09-12
141071,Whitefriars School,Harrow,excluded,,,,,"2023,2024",2025,"fails C5: 2 years with a cut-off, not applied in 2025; 0.867 -> 1.511 mi",,,2026-09-12
102239,Whitmore High School,Harrow,draft_include,pass,"EHCP; looked after/previously looked after; medical/social need of child; medical need of parent; siblings; children of staff; distance (straight line, home address point to centre point of school); equidistant tie by random selection",https://www.harrow.gov.uk/downloads/file/32512/REPORT_FOR.pdf,2026-27 determined arrangements (community school); allocation tables 2023-25 show no feeder/random places,"2023,2024,2025",,3 years; 1154-1273 m,,2021 and 2022 tables removed from harrow.gov.uk (404); Internet Archive offline on 2026-09-12,2026-09-12
137197,Hall Mead School,Havering,pending_c2,,,,,"2017,2019-2025",,"8 years, 2068-3071 m; CV about 0.13","2018 Havering file has rotated text, row not cleanly extracted; 2014 file not checked for 2015-16",Havering tables show only EHCP/LAC/siblings/distance allocations for Hall Mead; school policy not yet read,2026-09-12
143428,Harris Academy Rainham,Havering,draft_include,"pass (2025 policy, no banding)",,https://cms-site-files.reactfiles.co.uk/har/uploads/key_information/Harris-Rainham-Admissions-Policy-2025.pdf?t=1754396085,"2025 only; Harris elsewhere uses banding, so earlier years must be checked",2020-2025,,"6 years, 2185-2983 m; CV about 0.12",,Havering statistics tables have no banding column and show 117-137 distance places each year,2026-09-12
136711,Queensmead School,Hillingdon,pending_c2,"unclear: policy not yet read (school site had no admissions link); Hillingdon table shows a distance cut-off, not banding/faith",,,,"2021,2022,2023",,"3 years, 1367-1554 m; CV about 0.07",Hillingdon 2025 allocation PDF is an image (no text); 2024 file not located,,2026-09-12
137077,Rosedale College,Hillingdon,excluded,,,,,2021,"2022,2023",fails C5: undersubscribed in 2022 and 2023 ('everyone who applied received an offer'),,,2026-09-12
136631,Swakeleys School for Girls,Hillingdon,excluded,fail,"Hillingdon allocation tables 2021-23: 'N/A (B) - This school operates a banding system and depending on their NVRT results, offers are made accordingly'",https://www.hillingdon.gov.uk/media/11188/Secondary-allocation-data-2023/pdf/emSecondary_allocation_data_2023_1.pdf?m=1698398926857,,,,,,,2026-09-12
137635,Vyners School,Hillingdon,draft_include,pass (policy for entry September 2027),,https://www.vynersschool.org.uk/attachments/download.asp?file=2908&type=pdf,2027 entry only; earlier years not checked,"2021,2022,2023",,"3 years, 1486-1749 m; CV about 0.08",Hillingdon 2025 allocation PDF is an image (no text); 2024 file not located,,2026-09-12
136522,Cranford Community College,Hounslow,needs_more_years,provisional pass (allocation table criteria only),,,,"2024,2025",,only 2 years found; C5 needs 3,hounslow.gov.uk allocation page lists 2024 and 2025 only; 2017 file 404; Internet Archive offline 2026-09-12,A search snippet cites Cranford 2020 last distance 1.209 miles but the 2020 file was not located,2026-09-12
136341,Lampton Academy,Hounslow,needs_more_years,provisional pass (allocation table criteria only),,,,"2024,2025",,only 2 years found; C5 needs 3,hounslow.gov.uk allocation page lists 2024 and 2025 only; 2017 file 404; Internet Archive offline 2026-09-12,,2026-09-12
138266,Reach Academy Feltham,Hounslow,excluded,fail,all-through: pupils in Reach Academy Year 6 automatically transfer to Year 7; no distance-ranked external intake shown,https://www.hounslow.gov.uk/downloads/file/11497/how-secondary-places-were-allocated-for-september-2025,,,,,,,2026-09-12
102539,The Heathland School,Hounslow,needs_more_years,provisional pass (allocation table criteria only),,,,"2024,2025",,only 2 years found; C5 needs 3,hounslow.gov.uk allocation page lists 2024 and 2025 only; 2017 file 404; Internet Archive offline 2026-09-12,,2026-09-12
100457,Elizabeth Garrett Anderson School,Islington,needs_more_years,"provisional pass (2026-27 proposed community criteria, no banding)",EHCP; looked after; sibling; exceptional social/medical/SEN; straight line distance from LPG home address to the midpoint of the school grounds,https://islington.moderngov.co.uk/documents/s39796/2.%20Appendices%20Proposed%20Admission%20Arrangements%20for%20Islington%20Community%20Schools.pdf,"2026-27 proposed; a search summary claimed EGA used ability bands in 2020, so earlier years must be checked","one figure, entry year unclear: 1.506 miles ('The last pupil admitted under the distance criterion'), map in the 2023-24 folder",,,https://www.islington.gov.uk/-/media/sharepoint-lists/public-records/educationandskills/information/maps/20232024/elizabeth-garrett-anderson-cutoff-distance-map-202324.pdf ; same filename pattern for 2018-19..2026-27 redirects (not published); Islington 2026-27 guide URL 404,girls' community school,2026-09-12
100455,Highbury Fields School,Islington,needs_more_years,"provisional pass (2026-27 proposed community criteria, no banding)",EHCP; looked after; sibling; exceptional social/medical/SEN; straight line distance from LPG home address to the midpoint of the school grounds,https://islington.moderngov.co.uk/documents/s39796/2.%20Appendices%20Proposed%20Admission%20Arrangements%20for%20Islington%20Community%20Schools.pdf,"2026-27 proposed; a search summary claimed EGA used ability bands in 2020, so earlier years must be checked","one figure, entry year unclear: 0.787 miles ('The last pupil admitted under the distance criterion'), map in the 2023-24 folder",,,https://www.islington.gov.uk/-/media/sharepoint-lists/public-records/educationandskills/information/maps/20232024/highbury-fields-cutoff-distance-map-202324.pdf ; same filename pattern for 2018-19..2026-27 redirects (not published); Islington 2026-27 guide URL 404,girls' community school,2026-09-12
140212,Kensington Aldridge Academy,Kensington and Chelsea,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),"RBKC bi-borough offers: performing/creative arts aptitude (18 of 210), siblings, living within priority area (110), outside priority area by straight-line distance (19 offers up to 0.926)",https://www.rbkc.gov.uk/media/document/how-places-were-offered-at-bi-borough-secondary-schools,,,,,,priority-area polygon + distance hybrid; entry year of this document not stated in the extracted text,2026-09-12
137848,Coombe Girls' School,Kingston upon Thames,draft_include,pass (2026-27 policy),,https://cmb-girls.reactfiles.co.uk/uploads/key_information/CGS-Admissions-Policy-2026-27.pdf?t=1741951031,2026-27 only; earlier years not checked,2021-2025,,"5 years, 1821-2959 m; CV about 0.23 (near the 0.25 limit) and trending up",,"girls' school. Distance is to two named entrances: boundary is really the union of two circles, not one circle around the GIAS point; consider using entrance coordinates",2026-09-12
137060,Tolworth Girls' School and Sixth Form,Kingston upon Thames,draft_include,pass (2026-27 policy),,https://www.tolworthgirlsschool.co.uk/s/Determined-Admission-Arrangements-for-Years-7-to-11-2026-27.pdf,2026-27 only; earlier years not checked,2021-2025,,"5 years, 2739-3937 m; CV about 0.16",,girls' school; distance to Fullers Way North Entrance,2026-09-12
137093,Dunraven School,Lambeth,excluded,fail,Lambeth NOD 2023 offer details: places offered within ability bands ('For more information about the ability bands...'),https://www.lambeth.gov.uk/sites/default/files/2023-03/dunraven-national-offer-day-2023.pdf,,,,,,,2026-09-12
136450,Platanos College,Lambeth,excluded,fail,Lambeth NOD 2020 offer details: 'Offers Per Band' with furthest straight-line distance per band,https://www.lambeth.gov.uk/sites/default/files/Platanos-College-National-Offer-Day-2020-offer-details.pdf,,,,,,,2026-09-12
135070,Haberdashers' Knights Academy,Lewisham,needs_manual,unclear,Lewisham guide lists 'sports applicants' (aptitude places); Haberdashers' banding not checked,https://kelvingrove.lewisham.sch.uk/wp-content/uploads/2025/09/Applying-to-start-secondary-school-in-2026-27.pdf,,,,,,,2026-09-12
150319,Prendergast School,Lewisham,needs_manual,unclear,"Lewisham 2026-27 guide lists a separate 'Prendergast School (music applicants)' route: aptitude places, share not yet checked; Leathersellers' federation banding not checked",https://kelvingrove.lewisham.sch.uk/wp-content/uploads/2025/09/Applying-to-start-secondary-school-in-2026-27.pdf,,,,,,,2026-09-12
131897,Harris Academy Merton,Merton,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),2027-28 policy: priority for siblings and 'all other children living within the defined catchment area' before out-of-catchment; catchment + distance hybrid,https://cms-site-files.reactfiles.co.uk/hame/uploads/key_information/Admission-Policy-2027-28.pdf?t=1765464337,2027-28 (outside window; need 2015-2025 arrangements),,,,,,2026-09-12
138495,Harris Academy Morden,Merton,needs_data,"provisional pass (2026-27 policy: LAC, siblings, staff, then straight line distance; no banding found)",,https://cms-site-files.reactfiles.co.uk/hamo/uploads/key_information/0.-HAMD-Admissions-Policy-2026-2027.pdf?t=1762852623,,,,,Merton multi-year table says 'Please contact school for further information' for Harris academies,,2026-09-12
102673,Ricards Lodge High School,Merton,draft_include,pass,EHCP; looked after/previously looked after; medical or social; siblings (cross-sibling with Ricards Lodge/Rutlish); children of staff; straight line distance to the main school (GIS),https://www.merton.gov.uk/education-and-learning/schools/admissions/secondary/criteria,current Merton community/VC criteria page; earlier years not separately checked,2019-2024 (2025 rejected as suspected duplicate),,"6 usable years, all ranked by distance on offer day",,"single-sex (girls) school, so the boundary only binds for families with a child of that sex",2026-09-12
102679,Rutlish School,Merton,draft_include,pass,EHCP; looked after/previously looked after; medical or social; siblings (cross-sibling with Ricards Lodge/Rutlish); children of staff; straight line distance to the main school (GIS),https://www.merton.gov.uk/education-and-learning/schools/admissions/secondary/criteria,current Merton community/VC criteria page; earlier years not separately checked,2019-2024 (2025 rejected as suspected duplicate),,"6 usable years, all ranked by distance on offer day",,"single-sex (boys) school, so the boundary only binds for families with a child of that sex",2026-09-12
136669,Brampton Manor Academy,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
143274,Forest Gate Community School,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
139703,Harris Academy Chobham,Newham,excluded,provisional pass (straight line; Harris banding not checked),,,,"2023,2024,2025",,"fails C5: 904 m, 2860 m, 941 m; CV about 0.7",,all-through: external intake about 120 of 210 places; primary-phase admission could also carry a premium,2026-09-12
132058,Kingsford Community School,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
102776,Little Ilford School,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
141082,Oasis Academy Silvertown,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
138196,Oasis School 21,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
148901,Rokeby School,Newham,excluded,fail,"Newham offer statistics list the tie-break as 'Shortest Walking Distance in Miles' (2023, 2024, 2025 tables)",https://www.newham.gov.uk/downloads/file/8036/primary-to-secondary-school-transition-september-2024,2023-2025 entry,,,,,,2026-09-12
140575,Beal High School,Redbridge,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),"hybrid catchment area + distance within catchment (e.g. 'catchment applicants were offered up to 0.337 miles'), plus automatic Year 6 transfers at all-through schools; not one of the pre-registered routes, needs a rule decision before inclusion",https://www.redbridge.gov.uk/static-cms/media/12096/transfer-to-sec-2024-school-allocations-and-cut-off-distances.pdf,,,,,"Redbridge 2024 and 2025 allocation and cut-off distance PDFs located, not yet extracted",,2026-09-12
136267,Chadwell Heath Academy,Redbridge,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),"hybrid catchment area + distance within catchment (e.g. 'catchment applicants were offered up to 0.337 miles'), plus automatic Year 6 transfers at all-through schools; not one of the pre-registered routes, needs a rule decision before inclusion",https://www.redbridge.gov.uk/static-cms/media/12096/transfer-to-sec-2024-school-allocations-and-cut-off-distances.pdf,,,,,"Redbridge 2024 and 2025 allocation and cut-off distance PDFs located, not yet extracted",,2026-09-12
140475,Loxford School,Redbridge,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),"hybrid catchment area + distance within catchment (e.g. 'catchment applicants were offered up to 0.337 miles'), plus automatic Year 6 transfers at all-through schools; not one of the pre-registered routes, needs a rule decision before inclusion",https://www.redbridge.gov.uk/static-cms/media/12096/transfer-to-sec-2024-school-allocations-and-cut-off-distances.pdf,,,,,"Redbridge 2024 and 2025 allocation and cut-off distance PDFs located, not yet extracted",,2026-09-12
102856,Seven Kings School,Redbridge,excluded,fail (priority-area hybrid; DEVIATIONS 2026-09-12 item 2),"hybrid catchment area + distance within catchment (e.g. 'catchment applicants were offered up to 0.337 miles'), plus automatic Year 6 transfers at all-through schools; not one of the pre-registered routes, needs a rule decision before inclusion",https://www.redbridge.gov.uk/static-cms/media/12096/transfer-to-sec-2024-school-allocations-and-cut-off-distances.pdf,,,,,"Redbridge 2024 and 2025 allocation and cut-off distance PDFs located, not yet extracted",,2026-09-12
138461,Waldegrave School,Richmond upon Thames,excluded,fail (area quotas with separate cut-offs; DEVIATIONS 2026-09-12 item 3),places split between Waldegrave Area A (85%) and Area B (15%) with separate NOD cut-offs (2021: 1.470/5.109 km; 2022: 1.416/5.011; 2023: 2.032/5.620),https://www.richmond.gov.uk/media/utmdtytx/lbr_tss_furthest_distance_offers.pdf,,,,,,,2026-09-12
131747,Harris Academy Bermondsey,Southwark,needs_manual,unclear,"straight line from the front door of home; sibling priority also for Harris Boys' Academy East Dulwich; 'music scholarships available'. Two-column PDF layout interleaves neighbouring schools, so feeder/nodal wording seen in a search summary could not be attributed reliably",https://www.southwark.gov.uk/sites/default/files/2026-08/Starting-secondary-school-in-Southwark-2027-28.pdf,,,,,Southwark admissions book 2027-28; Southwark does not publish last-offer distances (per its admissions book),,2026-09-12
136309,Kingsdale Foundation School,Southwark,excluded,fail,Southwark 2027-28 book: applicants placed in one of three ability bands by test score; 15% scholarship places for music or sport aptitude,https://www.southwark.gov.uk/sites/default/files/2026-08/Starting-secondary-school-in-Southwark-2027-28.pdf,2027-28 book (banding long-standing),,,,,,2026-09-12
136298,The Charter School North Dulwich,Southwark,needs_manual,unclear,straight line to the main entrance; a 'random draw' phrase appears nearby in a two-column layout and may belong to a neighbouring entry,https://www.southwark.gov.uk/sites/default/files/2026-08/Starting-secondary-school-in-Southwark-2027-28.pdf,,,,,Southwark admissions book 2027-28; Southwark does not publish last-offer distances (per its admissions book),,2026-09-12
136785,Cheam High School,Sutton,excluded,fail (area quotas with separate cut-offs; DEVIATIONS 2026-09-12 item 3),"Sutton allocation page lists separate 'Worcester Park Places' (1,325 m) and other places (607 m): places split by area, so no single distance boundary",https://www.sutton.gov.uk/schools-and-learning/school-admissions/national-offer-day-secondary-schools/secondary-school-allocation-information,,,,,,,2026-09-12
